number_sta,date,precip
14126001,2018-08-25,1.5
14126001,2018-08-26,0.0
14126001,2018-08-27,1.0
14126001,2018-08-28,0.5
14126001,2018-08-29,20.5
14126001,2018-08-30,0.0
14126001,2018-08-31,0.0
14126001,2018-09-01,0.0
14126001,2018-09-02,0.0
14126001,2018-09-03,0.0
14126001,2018-09-04,0.0
14126001,2018-09-05,1.0
14126001,2018-09-06,0.0
14126001,2018-09-07,2.0
14126001,2018-09-08,0.0
14126001,2018-09-09,0.0
14126001,2018-09-10,0.0
14126001,2018-09-11,0.5
14126001,2018-09-12,0.0
14126001,2018-09-13,2.5
14126001,2018-09-14,0.0
14126001,2018-09-15,0.0
14126001,2018-09-16,0.0
14126001,2018-09-17,0.0
14126001,2018-09-18,0.0
14126001,2018-09-19,0.0
14126001,2018-09-20,0.0
14126001,2018-09-21,4.0
14126001,2018-09-22,3.5
14126001,2018-09-23,5.5
14126001,2018-09-24,0.0
14126001,2018-09-25,0.0
14126001,2018-09-26,0.0
14126001,2018-09-27,0.0
14126001,2018-09-28,0.0
14126001,2018-09-29,0.0
14126001,2018-09-30,0.0
14126001,2018-10-01,0.0
14126001,2018-10-02,0.0
14126001,2018-10-03,0.5
14126001,2018-10-04,0.0
14126001,2018-10-05,0.0
14126001,2018-10-06,13.0
14126001,2018-10-07,1.5
14126001,2018-10-08,0.5
14126001,2018-10-09,0.0
14126001,2018-10-10,1.5
14126001,2018-10-11,7.5
14126001,2018-10-12,0.5
14126001,2018-10-13,0.0
14126001,2018-10-14,8.0
14126001,2018-10-15,0.0
14126001,2018-10-16,0.0
14126001,2018-10-17,0.5
14126001,2018-10-18,0.0
14126001,2018-10-19,0.0
14126001,2018-10-20,0.0
14126001,2018-10-21,0.5
14126001,2018-10-22,0.0
14126001,2018-10-23,0.0
14126001,2018-10-24,0.0
14126001,2018-10-25,0.0
14126001,2018-10-26,6.0
14126001,2018-10-27,9.0
14126001,2018-10-28,0.5
14126001,2018-10-29,0.0
14126001,2018-10-30,0.5
14126001,2018-10-31,5.5
14126001,2018-11-01,2.5
14126001,2018-11-02,0.5
14126001,2018-11-03,0.0
14126001,2018-11-04,0.0
14126001,2018-11-05,0.0
14126001,2018-11-06,0.5
14126001,2018-11-07,3.0
14126001,2018-11-08,0.0
14126001,2018-11-09,2.5
14126001,2018-11-10,7.0
14126001,2018-11-11,0.0
14126001,2018-11-12,2.0
14126001,2018-11-13,0.0
14126001,2018-11-14,0.5
14126001,2018-11-15,0.0
14126001,2018-11-16,0.5
14126001,2018-11-17,0.0
14126001,2018-11-18,0.0
14126001,2018-11-19,0.0
14126001,2018-11-20,0.5
14126001,2018-11-21,0.0
14126001,2018-11-22,0.5
14126001,2018-11-23,1.0
14126001,2018-11-24,3.5
14126001,2018-11-25,3.0
14126001,2018-11-26,0.5
