number_sta,date,dd
14126001,2018-05-14,
14126001,2018-05-15,
14126001,2018-05-16,
14126001,2018-05-17,
14126001,2018-05-18,
14126001,2018-05-19,
14126001,2018-05-20,
14126001,2018-05-21,
14126001,2018-05-22,
14126001,2018-05-23,
14126001,2018-05-24,
14126001,2018-05-25,
14126001,2018-05-26,
14126001,2018-05-27,
14126001,2018-05-28,
14126001,2018-05-29,
14126001,2018-05-30,
14126001,2018-05-31,
14126001,2018-06-01,
14126001,2018-06-02,
14126001,2018-06-03,
14126001,2018-06-04,
14126001,2018-06-11,
14126001,2018-06-12,
14126001,2018-06-13,
14126001,2018-06-14,
14126001,2018-06-15,
14126001,2018-06-16,
14126001,2018-06-17,
14126001,2018-06-18,
14126001,2018-06-19,
14126001,2018-06-20,
14126001,2018-06-21,
14126001,2018-06-22,
14126001,2018-06-23,
14126001,2018-06-24,
14126001,2018-06-25,
14126001,2018-06-26,
14126001,2018-06-27,
14126001,2018-06-28,
14126001,2018-06-29,
14126001,2018-06-30,
14126001,2018-07-01,
14126001,2018-07-02,
14126001,2018-07-03,
14126001,2018-07-04,
14126001,2018-07-05,
14126001,2018-07-06,
14126001,2018-07-07,
14126001,2018-07-08,
14126001,2018-07-09,
14126001,2018-07-10,
14126001,2018-07-11,
14126001,2018-07-12,
14126001,2018-07-13,
14126001,2018-07-14,
14126001,2018-07-15,
14126001,2018-07-16,
14126001,2018-07-17,
14126001,2018-07-18,
14126001,2018-07-19,
14126001,2018-07-20,
14126001,2018-07-21,
14126001,2018-07-22,
14126001,2018-07-23,
14126001,2018-07-24,
14126001,2018-07-25,
14126001,2018-07-26,
14126001,2018-07-27,
14126001,2018-07-28,
14126001,2018-07-29,
14126001,2018-07-30,
14126001,2018-07-31,
14126001,2018-08-01,
14126001,2018-08-02,
14126001,2018-08-03,
14126001,2018-08-04,
14126001,2018-08-05,
14126001,2018-08-06,
14126001,2018-08-07,
14126001,2018-08-08,
14126001,2018-08-09,
14126001,2018-08-10,
14126001,2018-08-11,
14126001,2018-08-12,
14126001,2018-08-13,
14126001,2018-08-14,
14126001,2018-08-15,
14126001,2018-08-16,
14126001,2018-08-17,
14126001,2018-08-18,
14126001,2018-08-19,
14126001,2018-08-20,
14126001,2018-08-21,
14126001,2018-08-22,
14126001,2018-08-23,
14126001,2018-08-24,
14126001,2018-08-25,
14126001,2018-08-26,
14126001,2018-08-27,
14126001,2018-08-28,
14126001,2018-08-29,
14126001,2018-08-30,
14126001,2018-08-31,
14126001,2018-09-01,
14126001,2018-09-02,
14126001,2018-09-03,
14126001,2018-09-04,
14126001,2018-09-05,
14126001,2018-09-06,
14126001,2018-09-07,
